"","Table.Name","State.Code","District.Code","Tehsil.Code","Area.Name","Total..Rural..Urban","Age.group","Total.population...Persons","Total.population...Males","Total.population...Females","Population.attending.educational.institutions...Persons","Population.attending.educational.institutions...Males","Population.attending.educational.institutions...Females","Illiterate...Persons","Illiterate...Males","Illiterate...Females","Literate...Persons","Literate...Males","Literate...Females","Literate.without.educational.level...Persons","Literate.without.educational.level...Males","Literate.without.educational.level...Females","Below.primary...Persons","Below.primary...Males","Below.primary...Females","Primary...Persons","Primary...Males","Primary...Females","Middle...Persons","Middle...Males","Middle...Females","Matric.Secondary...Persons","Matric.Secondary...Males","Matric.Secondary...Females","Higher.secondary.Intermediate.Pre.University.Senior.secondary...Persons","Higher.secondary.Intermediate.Pre.University.Senior.secondary...Males","Higher.secondary.Intermediate.Pre.University.Senior.secondary...Females","Non.technical.diploma.or.certificate.not.equal.to.degree...Persons","Non.technical.diploma.or.certificate.not.equal.to.degree...Males","Non.technical.diploma.or.certificate.not.equal.to.degree...Females","Technical.diploma.or.certificate.not.equal.to.degree...Persons","Technical.diploma.or.certificate.not.equal.to.degree...Males","Technical.diploma.or.certificate.not.equal.to.degree...Females","Graduate...above...Persons","Graduate...above...Males","Graduate...above...Females","Unclassified...Persons","Unclassified...Males","Unclassified...Females"
"54","C3311",0,0,0,"INDIA","Urban","10",8042303,4280284,3762019,6841908,3683240,3158668,136198,62823,73375,6705710,3620417,3085293,18262,10581,7681,4340825,2385325,1955500,2345934,1224051,1121883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,460,229
"55","C3311",0,0,0,"INDIA","Urban","11",5065421,2660354,2405067,4536608,2402584,2134024,54654,22973,31681,4481954,2379611,2102343,10596,6327,4269,1472555,818586,653969,2998436,1554415,1444021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,283,84
"56","C3311",0,0,0,"INDIA","Urban","12",7558903,4016492,3542411,6303523,3389273,2914250,68251,27470,40781,6235272,3361803,2873469,15890,9596,6294,1146498,648853,497645,4443535,2385333,2058202,628747,317588,311159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,433,169
"57","C3311",0,0,0,"INDIA","Urban","13",5586302,2844626,2741676,4701078,2430024,2271054,36436,12777,23659,4664642,2417247,2247395,10887,6498,4389,368327,201765,166562,2772093,1474510,1297583,1512946,734204,778742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,270,119
"58","C3311",0,0,0,"INDIA","Urban","14",6211607,3228376,2983231,4851746,2567662,2284084,34773,12041,22732,4816973,2555621,2261352,12931,7611,5320,228956,127673,101283,1631411,912413,718998,2943261,1507636,1435625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,288,126
"59","C3311",0,0,0,"INDIA","Urban","15",6198351,3305702,2892649,4368524,2358143,2010381,29292,10252,19040,4339232,2347891,1991341,13067,7806,5261,127663,73263,54400,774240,450272,323968,2205986,1213910,992076,1217825,602334,615491,0,0,0,0,0,0,0,0,0,0,0,0,451,306,145
"60","C3311",0,0,0,"INDIA","Urban","16",6297617,3294608,3003009,4028513,2138276,1890237,26017,8775,17242,4002496,2129501,1872995,15202,9071,6131,90835,50433,40402,397921,225813,172108,1318016,750412,567604,2179981,1093405,1086576,0,0,0,0,0,0,0,0,0,0,0,0,541,367,174
"61","C3311",0,0,0,"INDIA","Urban","17",5009567,2691683,2317884,3017867,1643249,1374618,16416,5472,10944,3001451,1637777,1363674,13418,8407,5011,53619,29805,23814,171559,98277,73282,557960,336929,221031,2204223,1163890,1040333,0,0,0,0,0,0,0,0,0,0,0,0,672,469,203
"62","C3311",0,0,0,"INDIA","Urban","18",8054852,4435032,3619820,3626385,2055248,1571137,23055,8274,14781,3603330,2046974,1556356,22554,14386,8168,69423,40003,29420,162510,95520,66990,459546,293243,166303,1110824,682534,428290,1712571,873059,839512,7393,4824,2569,57417,42638,14779,0,0,0,1092,767,325
"63","C3311",0,0,0,"INDIA","Urban","19",4593680,2464548,2129132,2038795,1145956,892839,12020,4311,7709,2026775,1141645,885130,15424,9832,5592,42944,24569,18375,68347,39192,29155,148576,94109,54467,382650,245722,136928,1309730,685106,624624,6115,4057,2058,52103,38416,13687,0,0,0,886,642,244
"64","C3311",0,0,0,"INDIA","Urban","20-24",28365228,15193668,13171560,6102465,3759774,2342691,44185,16542,27643,6058280,3743232,2315048,54499,35499,19000,83954,50791,33163,157256,90757,66499,268190,175079,93111,673433,456212,217221,2734706,1645495,1089211,20316,14996,5320,171042,134566,36476,1891399,1137333,754066,3485,2504,981
"65","C3311",0,0,0,"INDIA","Urban","25-29",25737253,13180373,12556880,773971,549867,224104,6677,2366,4311,767294,547501,219793,10872,6636,4236,2969,1744,1225,3892,2363,1529,4567,2941,1626,34154,23431,10723,147618,104938,42680,3403,2716,687,23815,20226,3589,535344,381991,153353,660,515,145
"66","C3311",0,0,0,"INDIA","Urban","30-34",22445165,11673137,10772028,182124,119712,62412,6050,2094,3956,176074,117618,58456,5995,2821,3174,1942,896,1046,2661,1466,1195,2576,1620,956,13025,8308,4717,31269,20356,10913,865,710,155,5780,4763,1017,111824,76576,35248,137,102,35
"67","C3311",0,0,0,"INDIA","Urban","35-59",71734880,38508777,33226103,259004,167407,91597,19028,6976,12052,239976,160431,79545,13280,6181,7099,5468,2825,2643,8021,4834,3187,6624,4403,2221,27729,18138,9591,37126,24054,13072,1159,935,224,7257,5669,1588,133121,93266,39855,191,126,65
"68","C3311",0,0,0,"INDIA","Urban","60+",19177607,9408722,9768885,50938,32306,18632,6126,2194,3932,44812,30112,14700,2816,1439,1377,1697,866,831,1981,1167,814,1073,690,383,5890,4005,1885,9700,6171,3529,225,182,43,1031,820,211,20344,14730,5614,55,42,13
"69","C3311",0,0,0,"INDIA","Urban","Age not stated",841654,465167,376487,20068,12123,7945,583,291,292,19485,11832,7653,953,624,329,280,164,116,207,138,69,162,118,44,1725,1062,663,5673,3343,2330,126,107,19,579,437,142,9770,5834,3936,10,5,5
